name,FIX_season,FIX_team,FIX_GW,FIX_Fixture_date,FIX_Opponent,FIX_Home?,FIX_goals_marginal,FIX_goals_cumulative,FIX_opp_goals,FIX_points_marginal,FIX_points_cumulative,FIX_opponent_goals_cumulative,FIX_opponent_points_cumulative,INCOMING_team_points,INCOMING_opponent_points,INCOMING_team_goals,INCOMING_opponent_goals,FIX_points_diff,FIX_goals_diff,FIX_team_code,FIX_opponent_team,FIX_opponent_code,Season,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,file,fixture,fouls,goals_conceded,goals_scored,ict_index,id_x,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,position,id_y,forecast,cost_today,LW_total_points,L4W_total_points,TSS_total_points,EWMA_total_points,LW_goals_scored,L4W_goals_scored,TSS_goals_scored,EWMA_goals_scored,LW_minutes,L4W_minutes,TSS_minutes,EWMA_minutes,LW_bps,L4W_bps,TSS_bps,EWMA_bps,LW_ict_index,L4W_ict_index,TSS_ict_index,EWMA_ict_index,LW_influence,L4W_influence,TSS_influence,EWMA_influence,LW_creativity,L4W_creativity,TSS_creativity,EWMA_creativity,LW_threat,L4W_threat,TSS_threat,EWMA_threat,LW_clean_sheets,L4W_clean_sheets,TSS_clean_sheets,EWMA_clean_sheets,forecast_points
Mahmoud Ahmed_Ibrahim Hassan,2019-20,Aston Villa,34,2020-07-08 00:00:00,Man Utd,1,1.0,35.0,2.0,1.0,40.0,53.0,54.0,40.0,54.0,35.0,53.0,-14.0,-18.0,2.0,Man Utd,12.0,2019-20,0.0,,,,0.0,4.0,0.0,,,0.6,,,465.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,291.0,,0.0,0.0,1.7,,9.2,,2020-06-21 15:15:00,,,,20.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,82883.0,,,,2.0,1.0,7.0,1.0,3082.0,7930.0,4848.0,52.0,True,,0.0,3.0,465.0,2,52.0,1.0,1.0,2.0,1.8442594171608282,0.0,0.0,0.1,0.06954400188492448,20.0,25.75,45.2,39.23220180722246,4.0,3.75,5.933333333333334,5.777788658987495,1.7,1.5000000000000042,3.8133333333333335,3.093630219025548,9.2,4.399999999999992,9.57333333333333,7.366212335607688,0.6,3.4249999999999954,8.750000000000002,8.037928408102463,7.0,7.0,19.866666666666667,15.518012545721819,0.0,0.0,0.1,0.08849566020796959,1.6109608153912045
Mahmoud Ahmed_Ibrahim Hassan,2019-20,Aston Villa,35,2020-07-11 00:00:00,Crystal Palace,1,1.0,35.0,2.0,1.0,40.0,53.0,54.0,40.0,54.0,35.0,53.0,-14.0,-18.0,2.0,Crystal Palace,7.0,2019-20,0.0,,,,0.0,4.0,0.0,,,0.6,,,465.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,291.0,,0.0,0.0,1.7,,9.2,,2020-06-21 15:15:00,,,,20.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,82883.0,,,,2.0,1.0,7.0,1.0,3082.0,7930.0,4848.0,52.0,True,,0.0,3.0,465.0,2,52.0,1.0,1.0,2.0,1.8442594171608282,0.0,0.0,0.1,0.06954400188492448,20.0,25.75,45.2,39.23220180722246,4.0,3.75,5.933333333333334,5.777788658987495,1.7,1.5000000000000042,3.8133333333333335,3.093630219025548,9.2,4.399999999999992,9.57333333333333,7.366212335607688,0.6,3.4249999999999954,8.750000000000002,8.037928408102463,7.0,7.0,19.866666666666667,15.518012545721819,0.0,0.0,0.1,0.08849566020796959,1.6862389231833037
Mahmoud Ahmed_Ibrahim Hassan,2019-20,Aston Villa,36,2020-07-15 00:00:00,Everton,0,1.0,35.0,2.0,1.0,40.0,53.0,54.0,40.0,54.0,35.0,53.0,-14.0,-18.0,2.0,Everton,8.0,2019-20,0.0,,,,0.0,4.0,0.0,,,0.6,,,465.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,291.0,,0.0,0.0,1.7,,9.2,,2020-06-21 15:15:00,,,,20.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,82883.0,,,,2.0,1.0,7.0,1.0,3082.0,7930.0,4848.0,52.0,True,,0.0,3.0,465.0,2,52.0,1.0,1.0,2.0,1.8442594171608282,0.0,0.0,0.1,0.06954400188492448,20.0,25.75,45.2,39.23220180722246,4.0,3.75,5.933333333333334,5.777788658987495,1.7,1.5000000000000042,3.8133333333333335,3.093630219025548,9.2,4.399999999999992,9.57333333333333,7.366212335607688,0.6,3.4249999999999954,8.750000000000002,8.037928408102463,7.0,7.0,19.866666666666667,15.518012545721819,0.0,0.0,0.1,0.08849566020796959,1.3913657746321968
Mahmoud Ahmed_Ibrahim Hassan,2019-20,Aston Villa,37,2020-07-18 00:00:00,Arsenal,1,1.0,35.0,2.0,1.0,40.0,53.0,54.0,40.0,54.0,35.0,53.0,-14.0,-18.0,2.0,Arsenal,1.0,2019-20,0.0,,,,0.0,4.0,0.0,,,0.6,,,465.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,291.0,,0.0,0.0,1.7,,9.2,,2020-06-21 15:15:00,,,,20.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,82883.0,,,,2.0,1.0,7.0,1.0,3082.0,7930.0,4848.0,52.0,True,,0.0,3.0,465.0,2,52.0,1.0,1.0,2.0,1.8442594171608282,0.0,0.0,0.1,0.06954400188492448,20.0,25.75,45.2,39.23220180722246,4.0,3.75,5.933333333333334,5.777788658987495,1.7,1.5000000000000042,3.8133333333333335,3.093630219025548,9.2,4.399999999999992,9.57333333333333,7.366212335607688,0.6,3.4249999999999954,8.750000000000002,8.037928408102463,7.0,7.0,19.866666666666667,15.518012545721819,0.0,0.0,0.1,0.08849566020796959,1.8240030246185246
Mahmoud Ahmed_Ibrahim Hassan,2019-20,Aston Villa,38,2020-07-26 00:00:00,West Ham,0,1.0,35.0,2.0,1.0,40.0,53.0,54.0,40.0,54.0,35.0,53.0,-14.0,-18.0,2.0,West Ham,19.0,2019-20,0.0,,,,0.0,4.0,0.0,,,0.6,,,465.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,291.0,,0.0,0.0,1.7,,9.2,,2020-06-21 15:15:00,,,,20.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,82883.0,,,,2.0,1.0,7.0,1.0,3082.0,7930.0,4848.0,52.0,True,,0.0,3.0,465.0,2,52.0,1.0,1.0,2.0,1.8442594171608282,0.0,0.0,0.1,0.06954400188492448,20.0,25.75,45.2,39.23220180722246,4.0,3.75,5.933333333333334,5.777788658987495,1.7,1.5000000000000042,3.8133333333333335,3.093630219025548,9.2,4.399999999999992,9.57333333333333,7.366212335607688,0.6,3.4249999999999954,8.750000000000002,8.037928408102463,7.0,7.0,19.866666666666667,15.518012545721819,0.0,0.0,0.1,0.08849566020796959,1.3309466357258262
Mamadou_Sakho,2019-20,Crystal Palace,31,2020-06-24 00:00:00,Liverpool,0,2.0,28.0,0.0,3.0,44.0,29.0,35.0,44.0,35.0,28.0,29.0,9.0,-1.0,7.0,Liverpool,10.0,2019-20,0.0,,,,0.0,0.0,0.0,,,0.0,,,125.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,292.0,,0.0,0.0,0.0,,0.0,,2020-06-20 18:45:00,,,,0.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,6025.0,,,,2.0,0.0,0.0,0.0,426.0,687.0,261.0,50.0,False,,0.0,2.0,125.0,1,50.0,0.0,0.0,0.2333333333333333,0.20170903399055956,0.0,0.0,0.0,0.0,0.0,0.0,15.5,12.434248322307587,0.0,0.0,2.3,1.9036760217643318,0.0,1.1102230246251563e-16,0.35666666666666663,0.27620177438325616,0.0,2.220446049250313e-16,2.8866666666666663,2.3982476204122576,0.0,1.1102230246251563e-16,0.4400000000000001,0.2358331625450017,0.0,0.0,0.2,0.10849514375158917,0.0,0.0,0.0,0.0,-0.07753276919699385
Mamadou_Sakho,2019-20,Crystal Palace,32,2020-06-29 00:00:00,Burnley,1,2.0,28.0,0.0,3.0,44.0,29.0,35.0,44.0,35.0,28.0,29.0,9.0,-1.0,7.0,Burnley,5.0,2019-20,0.0,,,,0.0,0.0,0.0,,,0.0,,,125.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,292.0,,0.0,0.0,0.0,,0.0,,2020-06-20 18:45:00,,,,0.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,6025.0,,,,2.0,0.0,0.0,0.0,426.0,687.0,261.0,50.0,False,,0.0,2.0,125.0,2,50.0,0.0,0.0,0.2333333333333333,0.20170903399055956,0.0,0.0,0.0,0.0,0.0,0.0,15.5,12.434248322307587,0.0,0.0,2.3,1.9036760217643318,0.0,1.1102230246251563e-16,0.35666666666666663,0.27620177438325616,0.0,2.220446049250313e-16,2.8866666666666663,2.3982476204122576,0.0,1.1102230246251563e-16,0.4400000000000001,0.2358331625450017,0.0,0.0,0.2,0.10849514375158917,0.0,0.0,0.0,0.0,0.27469628459793843
Mamadou_Sakho,2019-20,Crystal Palace,33,2020-07-04 00:00:00,Leicester,0,2.0,28.0,0.0,3.0,44.0,29.0,35.0,44.0,35.0,28.0,29.0,9.0,-1.0,7.0,Leicester,9.0,2019-20,0.0,,,,0.0,0.0,0.0,,,0.0,,,125.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,292.0,,0.0,0.0,0.0,,0.0,,2020-06-20 18:45:00,,,,0.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,6025.0,,,,2.0,0.0,0.0,0.0,426.0,687.0,261.0,50.0,False,,0.0,2.0,125.0,2,50.0,0.0,0.0,0.2333333333333333,0.20170903399055956,0.0,0.0,0.0,0.0,0.0,0.0,15.5,12.434248322307587,0.0,0.0,2.3,1.9036760217643318,0.0,1.1102230246251563e-16,0.35666666666666663,0.27620177438325616,0.0,2.220446049250313e-16,2.8866666666666663,2.3982476204122576,0.0,1.1102230246251563e-16,0.4400000000000001,0.2358331625450017,0.0,0.0,0.2,0.10849514375158917,0.0,0.0,0.0,0.0,-0.0748540278805772
Mamadou_Sakho,2019-20,Crystal Palace,34,2020-07-08 00:00:00,Chelsea,1,2.0,28.0,0.0,3.0,44.0,29.0,35.0,44.0,35.0,28.0,29.0,9.0,-1.0,7.0,Chelsea,6.0,2019-20,0.0,,,,0.0,0.0,0.0,,,0.0,,,125.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,292.0,,0.0,0.0,0.0,,0.0,,2020-06-20 18:45:00,,,,0.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,6025.0,,,,2.0,0.0,0.0,0.0,426.0,687.0,261.0,50.0,False,,0.0,2.0,125.0,2,50.0,0.0,0.0,0.2333333333333333,0.20170903399055956,0.0,0.0,0.0,0.0,0.0,0.0,15.5,12.434248322307587,0.0,0.0,2.3,1.9036760217643318,0.0,1.1102230246251563e-16,0.35666666666666663,0.27620177438325616,0.0,2.220446049250313e-16,2.8866666666666663,2.3982476204122576,0.0,1.1102230246251563e-16,0.4400000000000001,0.2358331625450017,0.0,0.0,0.2,0.10849514375158917,0.0,0.0,0.0,0.0,0.2790147822867403
Mamadou_Sakho,2019-20,Crystal Palace,35,2020-07-11 00:00:00,Aston Villa,0,2.0,28.0,0.0,3.0,44.0,29.0,35.0,44.0,35.0,28.0,29.0,9.0,-1.0,7.0,Aston Villa,2.0,2019-20,0.0,,,,0.0,0.0,0.0,,,0.0,,,125.0,,,/Users/calumthompson/Documents/Fantasy_football/GitHub_data/data/2019-20/gws/gw39.csv,292.0,,0.0,0.0,0.0,,0.0,,2020-06-20 18:45:00,,,,0.0,,,0.0,,0.0,0.0,,0.0,39.0,0.0,6025.0,,,,2.0,0.0,0.0,0.0,426.0,687.0,261.0,50.0,False,,0.0,2.0,125.0,2,50.0,0.0,0.0,0.2333333333333333,0.20170903399055956,0.0,0.0,0.0,0.0,0.0,0.0,15.5,12.434248322307587,0.0,0.0,2.3,1.9036760217643318,0.0,1.1102230246251563e-16,0.35666666666666663,0.27620177438325616,0.0,2.220446049250313e-16,2.8866666666666663,2.3982476204122576,0.0,1.1102230246251563e-16,0.4400000000000001,0.2358331625450017,0.0,0.0,0.2,0.10849514375158917,0.0,0.0,0.0,0.0,-0.004824636847179417
